;;;;;;;;;PREFEITURA MUNICIPAL DE GOIANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mês/Ano;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;03/2026;;
;;;;;;;;;AV MARECHAL DEODORO DA FONSECA, 01,  CENTRO. GOIANA-PE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;
;;;;;;;;;CNPJ: 10.150.043/0001-07;;;;;;;;Folha Mensal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;
;;;;;;;;;Página 1 de 9;;;;;;;;
;;;;;;;;

;Sem classificação;;;;;;;;;;;;;;;;;;;;;78,32;;;;;;;;12.628,47;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;;;;;;;;;;;;;;;;;;;;;78,32;;;;;;;;12.628,47;;;;
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Contribuição Previdenciária do Segurado por Vínculo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vínculo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Valor;;;;;;;;
03 - ELETIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.976,14;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.976,14;;;;;;;;

Base de I.R.R.F.;;;;;;;;;;;47.700,00;;;;;;Base de Previdência Total;;;;;;;;;;;;;;;;;;;;;;;;;;47.700,00;;;;;;;;
Base de F.G.T.S.;;;;;;;;;;;0,00;;;;;;Base de Previdência por Vínculo;;;;;;;;;;;;;;;;;;;;;;;;;;Valor;;;;;;;;
03 - ELETIVO;;;;;;;;;;;;;;;;;;;;;;;;;;47.700,00;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Fiorilli S/C Software Ltda.;;;;;;;;;;;;; [65/danilo/GOIANA.SRV-006$] {7.1583.255.11.19633/R/19633};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;PREFEITURA MUNICIPAL DE GOIANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mês/Ano;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;03/2026;;
;;;;;;;;AV MARECHAL DEODORO DA FONSECA, 01,  CENTRO. GOIANA-PE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;
;;;;;;;;CNPJ: 10.150.043/0001-07;;;;;;;Folha Mensal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;
;;;;;;;;Página 2 de 9;;;;;;;;
;;;;;;;;

Resumo Contábil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3/31/2026 1:00:07 PM;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vínculo: 30 - EFETIVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Total de Vencimentos;;;;;;;;;;;;3.189.642,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Total a Empenhar;;;;;;;;;;;;;;;;;;;;;;;;
;Salário Família;;;;;;;;;;;248,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Total de Proventos;;;;;;;;;3.356.633,44 (+);;;;;;;;;;;
;Outras Deduções;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Total Patronal;;;;;;;;;1.534.121,63 (+);;;;;;;;;;;
;Horas Extras (3.1.90.16);;;;;;;;;;;166.742,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;FGTS a Recolher;;;;;;;;;0,00 (+);;;;;;;;;;;
;Bolsa de Estudo (3.3.90.18);;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Total de Vantagens;;;;;;;;;0,00 (+);;;;;;;;;;;
;Despesa/Receita.Extra (PASEP,...);;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Dedução de Maternidade;;;;;;;;;0,00 (-);;;;;;;;;;;
;Sal. Maternidade;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Dedução de Salário Família;;;;;;;;;0,00 (-);;;;;;;;;;;
;Beneficios Assistenciais;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;4.890.755,07 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;Total Bruto;;;;;;;;;;;3.356.633,44;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Total de Descontos;;;;;;;;;;;;;;;;;;;;;;;;;
;Total de Descontos;;;;;;;;;;;1.084.206,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Total de Descontos;;;;;;;;;1.084.206,52 (+);;;;;;;;;;;
;Total Líquido;;;;;;;;;;;2.272.426,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Dedução de Maternidade;;;;;;;;;0,00 (+);;;;;;;;;;;
;FGTS a Recolher;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Dedução de Salário Família;;;;;;;;;0,00 (+);;;;;;;;;;;
;;Valor Ref. a 13º Salário;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;1.084.206,52;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Valores Sem 13º Salário;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;
;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Patronal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Bruto;;;;;;;;;Deduções;;;;;;;;;;;;;;;;;Líquido;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;PatronalBruto;;;;;;;;;SalárioFamília;;;;;;;;;;;SalárioMaternidade;;OutrasDeduções;;;;;PatronalLíquido;;;;;;;;
Vínculo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;;;EFETIVO;;;;;;;;;;;1.534.121,63;;;;;;;;;0,00;;;;;;;;;;;0,00;;0,00;;;;;1.534.121,63;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;1.534.121,63;;;;;;;;;0,00;;;;;;;;;;;0,00;;0,00;;;;;1.534.121,63;;;;;;;

Funcionários;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Situação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quantidade;;;;
01 - Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;338;;;;
94 - Afastamento por Doença não relacionada ao trabalho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;
98 - Afastamento com vencimento/remuneração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;344;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quantidade de trabalhadores processados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;344;;;;

Proventos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evento;;;;;;;Descrição;;;;;;;;;;;;Qtde.;;;;;;Refer.;;;;;;;;;;Valor;;;Classificação contábil;;;;;;;;;;;;;
001;;;;;;;SALARIO BASE;;;;;;;;;;;;342;;;;;;10.220,00;;;;;;;1.769.489,14;;;Salário Base;;;;;;;;;;;;;
021;;;;;;;INSALUBRIDADE 40%(BASE);;;;;;;;;;;;2;;;;;;;;;;;;;;80,00;;1.752,20;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
028;;;;;;;RISCO DE VIDA 20%;;;;;;;;;;;;75;;;;;;;;;;;1.500,00;;;;;78.876,04;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
032;;;;;;;GRATIFICAÇÃO LC 027/2023 - PROCURADORCHEFE;;;;;;;;;;;;1;;;;;;;;;;;;;;10,00;;1.714,09;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
034;;;;;;;INSALUBRIDADE 20%(BASE);;;;;;;;;;;;1;;;;;;;;;;;;;;20,00;;717,53;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
038;;;;;;;GRATIFICAÇÃO LC 027/2023 - PROCURADORCIVEL;;;;;;;;;;;;1;;;;;;;;;;;;;;10,00;;1.560,60;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
039;;;;;;;GRATIFICAÇÃO LC 027/2023 - PROCURADORFISCAL;;;;;;;;;;;;1;;;;;;;;;;;;;;10,00;;1.530,00;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
040;;;;;;;GRAT. DE EXERCÍCIO LEI 2728/25;;;;;;;;;;;;45;;;;;;;;;;;3.600,00;;;;;239.148,52;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
041;;;;;;;GRAT COMPDEC;;;;;;;;;;;;7;;;;;;;;;;;;;210,00;;;12.579,67;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
056;;;;;;;GRAT COMISS LICITA;;;;;;;;;;;;1;;;;;;;;;;;;;;;0,00;2.800,00;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
057;;;;;;;SUBSIDIO CARGO DESIGNADO;;;;;;;;;;;;2;;;;;;;;;;;;;;;0,00;19.665,30;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;;;;;;;GRAT JUST ELEITORAL;;;;;;;;;;;;3;;;;;;;;;;;;;150,00;;;9.348,08;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
073;;;;;;;MOTORISTA GUARD LEI 2042/07;;;;;;;;;;;;15;;;;;;;;;;;;;150,00;;;8.110,83;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
076;;;;;;;QUINQUENIO;;;;;;;;;;;;149;;;;;;;;;;;;;415,00;;;107.951,03;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;;;;;;;GRATIFICAÇÃO 2/3;;;;;;;;;;;;5;;;;;;;;;;;;;333,35;;;16.800,26;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
091;;;;;;;ABONO PERMANENCIA;;;;;;;;;;;;23;;;;;;;;;;;;;;;0,00;27.474,48;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
093;;;;;;;GECP - LEI 2652/24;;;;;;;;;;;;40;;;;;;;;;;;;;;;0,00;158.342,80;;;Hora Extra;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
096;;;;;;;H_EXTRA 50% 180H;;;;;;;;;;;;92;;;;;;;;;;;4.889,00;;;;;176.452,87;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
097;;;;;;;ADIC NOTURNO 150H;;;;;;;;;;;;92;;;;;;;;;;;7.168,00;;;;;68.521,56;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
098;;;;;;;ADIC NOTURNO 180H;;;;;;;;;;;;12;;;;;;;;;;;;;630,00;;;3.486,31;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;;;;;;;GRATIFICAÇÃO 2/3 RPPS;;;;;;;;;;;;5;;;;;;;;;;;;;333,35;;;19.304,64;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;;;;;;;GRAT JUST ELEI RPPS;;;;;;;;;;;;4;;;;;;;;;;;;;200,00;;;10.719,17;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;;;;;;;RISCO DE VIDA 40%;;;;;;;;;;;;15;;;;;;;;;;;;;600,00;;;23.427,65;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;;;;;;;GRATIFICAÇÃO 2/3 INCORPORADA;;;;;;;;;;;;13;;;;;;;;;;;;;866,71;;;51.959,67;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;;;;;;;GRAT AGENTE TRANSITO;;;;;;;;;;;;22;;;;;;;;;;;;;;;0,00;12.532,09;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;;;;;;;ESTAB FINANCEIRA - DS3 (TJ-PE);;;;;;;;;;;;3;;;;;;;;;;;;;100,00;;;7.050,00;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;;;;;;;ESTAB FINANCEIRA - DS2;;;;;;;;;;;;1;;;;;;;;;;;;;;;0,00;1.663,91;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;;;;;;;EST GRAT MEMBRO LICITAÇÃO;;;;;;;;;;;;1;;;;;;;;;;;;;;;0,00;2.800,00;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Fiorilli S/C Software Ltda.;;;;;;;;;;; [65/danilo/GOIANA.SRV-006$] {7.1583.255.11.19633/R/19633};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;PREFEITURA MUNICIPAL DE GOIANA;;;;;;;;;;;;;;;;;Mês/Ano;
;;;;;;;;;;;;;;;;;;;;
;;;;03/2026
;;;;AV MARECHAL DEODORO DA FONSECA, 01,  CENTRO. GOIANA-PE;;;;;;;;;;;;;;;;;
;;;
;;;;CNPJ: 10.150.043/0001-07;;;Folha Mensal;;;;;;;;;;;;;;
;;;
;;;;Página 3 de 9;;
;;

Resumo Contábil;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;3/31/2026 1:00:07 PM;;;

;;;;;;;;;;;;;;;;;;;;;;;;
Vínculo: 30 - EFETIVO;;;;;;;;;;;;;;;;;;;;;;;;
258;;;ESTAB FINANCEIRA - CC3(TJ-PE);;;;;;1;;;0,00;;5.650,00;;;;;;;
271;;;GAFP - LEI 2506/22;;;;;;2;;;;;80,00;;;3.932,80;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
272;;;GOFP - LEI 2506/22;;;;;;2;;;;120,00;;;;7.150,60;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
273;;;GSFP - LEI 2506/22;;;;;;1;;;;;60,00;;;4.575,02;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
274;;;GSTFP - LEI 2506/22;;;;;;1;;;;;60,00;;;3.388,90;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
275;;;GAFP - LEI 2604/2023 - 40%;;;;;;2;;;;;80,00;;;4.863,07;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
276;;;GAFP - LEI 2604/2023 - 60%;;;;;;2;;;;120,00;;;;5.665,81;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
277;;;GOFP - LEI 2506/22;;;;;;2;;;;120,00;;;;6.850,54;;;;;;;
